id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
1,1,34,1,88,1,0,0,0,90,5,-0.40455133
2,0,36,0,5,1,0,0,0,120,2,-1.1379588
3,0,27,0,35,0,0,1,1,120,3,0.69555992
4,1,23,1,45,0,0,1,0,100,5,-0.40455133
5,1,22,1,25,0,0,1,0,120,2,0.32885617
6,0,19,0,45,1,0,1,0,30,3,0.32885617
7,1,23,1,67,1,0,1,1,30,2,0.69555992
8,0,28,1,112,1,0,0,1,120,3,0.32885617
9,0,20,1,112,0,0,0,0,45,2,1.4289674
10,0,23,0,5,0,0,1,0,120,5,0.32885617
11,1,25,0,200,0,0,1,0,30,5,-0.03784757
12,0,26,0,45,0,0,1,0,60,3,0.69555992
13,0,34,0,67,1,0,0,0,90,3,0.32885617
14,0,27,0,45,1,0,0,1,60,3,1.0622636
15,0,36,0,35,1,0,1,1,75,2,-0.03784757
16,1,21,0,5,1,0,0,0,60,3,0.69555992
17,0,30,1,112,1,0,0,1,45,5,1.0622636
18,1,35,1,200,1,0,1,1,60,4,0.69555992
19,0,30,0,5,1,0,0,0,120,3,0.69555992
20,0,40,0,67,0,0,0,0,90,4,-1.5046625
21,1,33,0,55,0,1,0,0,60,5,-1.5046625
22,0,53,0,200,1,1,0,1,45,3,1.0622636
23,0,25,0,5,1,0,0,1,20,1,0.69555992
24,0,28,1,55,1,1,0,1,45,5,0.69555992
25,1,45,0,55,1,1,0,0,120,5,-1.1379588
26,1,25,0,25,1,0,1,1,120,2,0.32885617
27,0,37,0,88,0,0,0,1,75,4,-0.40455133
28,1,33,0,35,0,0,1,0,120,5,-1.8713663
29,0,31,0,67,1,0,0,0,50,4,1.0622636
30,1,25,1,67,1,0,0,0,30,4,1.0622636
31,1,25,0,35,0,0,0,0,120,5,-1.5046625
32,1,23,1,112,0,0,0,1,20,3,1.4289674
33,0,29,1,200,0,0,0,1,120,3,0.69555992
34,0,19,0,67,1,0,1,0,80,3,0.32885617
35,0,19,1,67,0,0,0,0,30,3,1.4289674
36,0,21,0,138,0,1,0,1,120,3,-0.03784757
37,1,54,0,88,0,0,0,0,45,2,1.0622636
38,0,23,0,200,1,0,1,0,40,2,0.32885617
39,0,20,0,35,0,0,0,0,35,4,-0.03784757
40,1,59,0,88,1,0,0,1,120,5,1.0622636
41,0,33,0,88,1,0,0,0,30,1,1.4289674
42,0,53,0,35,1,0,0,0,120,3,0.69555992
43,1,19,0,25,0,0,1,0,120,4,-2.23807
44,0,35,0,88,1,0,1,0,110,3,0.32885617
45,1,37,0,55,1,1,0,0,90,5,-1.5046625
46,1,23,0,88,1,0,1,1,20,3,0.32885617
47,0,27,1,67,0,0,0,1,30,3,1.4289674
48,1,28,0,55,0,0,0,1,120,2,1.0622636
49,0,34,0,45,0,0,0,0,40,4,0.69555992
50,0,50,0,88,0,0,0,0,60,4,-1.1379588
51,1,24,1,15,0,0,1,1,81,3,0.32885617
52,0,34,0,55,0,0,1,1,120,5,1.0622636
