id,ad,education,yearsexp,firstname,high,low,call,female,black,college
b,1,4,6,Allison,0,1,0,1,0,1
b,1,3,6,Kristen,1,0,0,1,0,0
b,1,4,6,Lakisha,0,1,0,1,1,1
b,1,3,6,Latonya,1,0,0,1,1,0
b,1,3,22,Carrie,1,0,0,1,0,0
b,1,4,6,Jay,0,1,0,0,0,1
b,1,4,5,Jill,1,0,0,1,0,1
b,1,3,21,Kenya,1,0,0,1,1,0
b,1,4,3,Latonya,0,1,0,1,1,1
b,1,4,6,Tyrone,1,0,0,0,1,1
b,1,4,8,Aisha,1,0,0,1,1,1
b,1,4,8,Allison,1,0,0,1,0,1
b,1,4,4,Aisha,0,1,0,1,1,1
b,1,4,4,Carrie,0,1,0,1,0,1
b,1,4,5,Aisha,1,0,0,1,1,1
b,1,1,4,Geoffrey,0,1,0,0,0,0
b,1,4,5,Matthew,1,0,0,0,0,1
b,1,4,6,Tamika,0,1,0,1,1,1
b,1,4,6,Jill,1,0,0,1,0,1
b,1,2,8,Latonya,0,1,0,1,1,0
b,1,4,4,Leroy,1,0,0,0,1,1
b,1,4,3,Todd,0,1,0,0,0,1
b,1,2,2,Allison,0,1,0,1,0,0
b,1,4,7,Carrie,0,1,0,1,0,1
b,1,4,3,Greg,1,0,0,0,0,1
b,1,4,6,Keisha,0,1,0,1,1,1
b,1,1,4,Keisha,1,0,0,1,1,0
b,1,3,6,Kristen,1,0,0,1,0,0
b,1,3,7,Lakisha,1,0,0,1,1,0
b,1,4,2,Tamika,0,1,0,1,1,1
b,1,2,6,Allison,0,1,0,1,0,0
b,1,3,6,Keisha,0,1,0,1,1,0
b,1,3,9,Kristen,1,0,0,1,0,0
b,1,4,6,Latonya,1,0,0,1,1,1
b,1,2,4,Brad,0,1,0,0,0,0
b,1,3,5,Jill,1,0,0,1,0,0
b,1,4,4,Keisha,0,1,0,1,1,1
b,1,4,3,Keisha,0,1,0,1,1,1
b,1,3,4,Lakisha,1,0,0,1,1,0
b,1,4,5,Laurie,1,0,0,1,0,1
b,1,4,5,Meredith,0,1,0,1,0,1
b,1,4,5,Tyrone,1,0,0,0,1,1
b,1,4,7,Anne,1,0,0,1,0,1
b,1,4,6,Emily,0,1,0,1,0,1
b,1,4,5,Latoya,0,1,0,1,1,1
b,1,3,7,Tamika,1,0,0,1,1,0
b,1,0,4,Brad,1,0,0,0,0,0
b,1,4,5,Latoya,1,0,0,1,1,1
b,1,4,4,Kristen,0,1,0,1,0,1
b,1,4,5,Latonya,1,0,0,1,1,1
b,1,4,6,Latoya,0,1,0,1,1,1
b,1,4,6,Laurie,1,0,0,1,0,1
b,1,4,13,Allison,0,1,0,1,0,1
b,1,4,19,Ebony,0,1,0,1,1,1
b,1,2,5,Jay,1,0,0,0,0,0
b,1,4,7,Keisha,1,0,0,1,1,1
b,1,4,21,Laurie,1,0,0,1,0,1
b,1,2,5,Tyrone,1,0,0,0,1,0
b,1,4,4,Anne,0,1,0,1,0,1
b,1,4,5,Lakisha,1,0,0,1,1,1
b,1,4,6,Latonya,0,1,0,1,1,1
b,1,3,5,Meredith,1,0,0,1,0,0
b,1,0,5,Allison,1,0,0,1,0,0
b,1,4,6,Carrie,0,1,0,1,0,1
b,1,4,6,Ebony,1,0,0,1,1,1
b,1,4,6,Kenya,0,1,0,1,1,1
b,1,4,6,Lakisha,1,0,0,1,1,1
b,1,3,4,Laurie,1,0,0,1,0,0
b,1,4,8,Aisha,1,0,0,1,1,1
b,1,4,5,Anne,0,1,0,1,0,1
b,1,4,5,Brendan,1,0,0,0,0,1
b,1,1,5,Hakim,1,0,0,0,1,0
b,1,3,6,Latoya,0,1,0,1,1,0
b,1,4,5,Laurie,0,1,0,1,0,1
b,1,3,3,Laurie,1,0,0,1,0,0
b,1,4,4,Leroy,0,1,0,0,1,1
b,1,4,12,Anne,1,0,0,1,0,1
b,1,3,11,Kenya,1,0,0,1,1,0
b,1,4,9,Latonya,0,1,0,1,1,1
b,1,4,10,Meredith,0,1,0,1,0,1
b,1,4,5,Jamal,0,1,0,0,1,1
b,1,4,4,Matthew,1,0,0,0,0,1
b,1,4,4,Neil,0,1,0,0,0,1
b,1,4,3,Tyrone,1,0,0,0,1,1
b,1,2,4,Leroy,1,0,0,0,1,0
b,1,2,7,Todd,1,0,1,0,0,0
b,1,1,3,Brad,0,1,0,0,0,0
