yearsexp,firstname,high_quality,call,female,black,boston,college,income_in_city
6,"Allison",0,0,1,0,0,1,6.3153
6,"Kristen",1,0,1,0,0,0,6.3153
6,"Lakisha",0,0,1,1,0,1,6.3153
6,"Latonya",1,0,1,1,0,0,6.3153
22,"Carrie",1,0,1,0,0,0,6.3153
6,"Jay",0,0,0,0,0,1,6.3153
5,"Jill",1,0,1,0,0,1,6.3153
21,"Kenya",1,0,1,1,0,0,6.3153
3,"Latonya",0,0,1,1,0,1,6.3153
6,"Tyrone",1,0,0,1,0,1,6.3153
8,"Aisha",1,0,1,1,0,1,6.3153
8,"Allison",1,0,1,0,0,1,6.3153
4,"Aisha",0,0,1,1,0,1,6.3153
4,"Carrie",0,0,1,0,0,1,6.3153
5,"Aisha",1,0,1,1,0,1,6.3153
4,"Geoffrey",0,0,0,0,0,0,6.3153
5,"Matthew",1,0,0,0,0,1,6.3153
6,"Tamika",0,0,1,1,0,1,6.3153
6,"Jill",1,0,1,0,0,1,6.3153
8,"Latonya",0,0,1,1,0,0,6.3153
4,"Leroy",1,0,0,1,0,1,6.3153
3,"Todd",0,0,0,0,0,1,6.3153
2,"Allison",0,0,1,0,0,0,6.3153
7,"Carrie",0,0,1,0,0,1,6.3153
3,"Greg",1,0,0,0,0,1,6.3153
6,"Keisha",0,0,1,1,0,1,6.3153
4,"Keisha",1,0,1,1,0,0,6.3153
6,"Kristen",1,0,1,0,0,0,6.3153
7,"Lakisha",1,0,1,1,0,0,6.3153
2,"Tamika",0,0,1,1,0,1,6.3153
6,"Allison",0,0,1,0,0,0,6.3153
6,"Keisha",0,0,1,1,0,0,6.3153
9,"Kristen",1,0,1,0,0,0,6.3153
6,"Latonya",1,0,1,1,0,1,6.3153
4,"Brad",0,0,0,0,0,0,6.3153
5,"Jill",1,0,1,0,0,0,6.3153
4,"Keisha",0,0,1,1,0,1,6.3153
3,"Keisha",0,0,1,1,0,1,6.3153
4,"Lakisha",1,0,1,1,0,0,6.3153
5,"Laurie",1,0,1,0,0,1,6.3153
5,"Meredith",0,0,1,0,0,1,6.3153
5,"Tyrone",1,0,0,1,0,1,6.3153
7,"Anne",1,0,1,0,0,1,6.3153
6,"Emily",0,0,1,0,0,1,6.3153
5,"Latoya",0,0,1,1,0,1,6.3153
7,"Tamika",1,0,1,1,0,0,6.3153
4,"Brad",1,0,0,0,0,0,6.3153
5,"Latoya",1,0,1,1,0,1,6.3153
4,"Kristen",0,0,1,0,0,1,6.3153
5,"Latonya",1,0,1,1,0,1,6.3153
6,"Latoya",0,0,1,1,0,1,6.3153
6,"Laurie",1,0,1,0,0,1,6.3153
13,"Allison",0,0,1,0,0,1,6.3153
19,"Ebony",0,0,1,1,0,1,6.3153
5,"Jay",1,0,0,0,0,0,6.3153
7,"Keisha",1,0,1,1,0,1,6.3153
21,"Laurie",1,0,1,0,0,1,6.3153
5,"Tyrone",1,0,0,1,0,0,6.3153
4,"Anne",0,0,1,0,0,1,6.3153
5,"Lakisha",1,0,1,1,0,1,6.3153
6,"Latonya",0,0,1,1,0,1,6.3153
5,"Meredith",1,0,1,0,0,0,6.3153
5,"Allison",1,0,1,0,0,0,6.3153
6,"Carrie",0,0,1,0,0,1,6.3153
6,"Ebony",1,0,1,1,0,1,6.3153
6,"Kenya",0,0,1,1,0,1,6.3153
6,"Lakisha",1,0,1,1,0,1,6.3153
4,"Laurie",1,0,1,0,0,0,6.3153
8,"Aisha",1,0,1,1,0,1,6.3153
5,"Anne",0,0,1,0,0,1,6.3153
5,"Brendan",1,0,0,0,0,1,6.3153
5,"Hakim",1,0,0,1,0,0,6.3153
6,"Latoya",0,0,1,1,0,0,6.3153
5,"Laurie",0,0,1,0,0,1,6.3153
3,"Laurie",1,0,1,0,0,0,6.3153
4,"Leroy",0,0,0,1,0,1,6.3153
12,"Anne",1,0,1,0,0,1,6.3153
11,"Kenya",1,0,1,1,0,0,6.3153
9,"Latonya",0,0,1,1,0,1,6.3153
10,"Meredith",0,0,1,0,0,1,6.3153
5,"Jamal",0,0,0,1,0,1,6.3153
4,"Matthew",1,0,0,0,0,1,6.3153
4,"Neil",0,0,0,0,0,1,6.3153
3,"Tyrone",1,0,0,1,0,1,6.3153
4,"Leroy",1,0,0,1,0,0,6.3153
7,"Todd",1,1,0,0,0,0,6.3153
3,"Brad",0,0,0,0,0,0,6.3153
3,"Ebony",0,0,1,1,0,1,6.3153
2,"Jill",0,0,1,0,0,1,6.3153
4,"Kristen",1,0,1,0,0,1,6.3153
4,"Lakisha",1,0,1,1,0,1,6.3153
4,"Matthew",1,0,0,0,0,1,6.3153
4,"Tamika",1,0,1,1,0,1,6.3153
2,"Tremayne",0,0,0,1,0,1,6.3153
10,"Aisha",1,0,1,1,0,1,6.3153
4,"Brett",1,1,0,0,0,0,6.3153
5,"Darnell",1,0,0,1,0,0,6.3153
11,"Emily",1,0,1,0,0,1,6.3153
3,"Latonya",0,0,1,1,0,1,6.3153
2,"Sarah",0,0,1,0,0,1,6.3153
7,"Aisha",1,0,1,1,0,1,6.3153
7,"Anne",1,0,1,0,0,1,6.3153
